red,green,blue,rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,year,ownershipStatus,Location,sellerType,DriveTypeGeneral,numWordsinComment,CityMpg,HyMpg
5,81,141,1,Used 2008 Subaru Outback 2.5i Wagon,1,/cars-for-sale/vehicledetails.xhtml?listingId=481240063&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,7995,FALSE,Wagon,All wheel drive,4-Cylinder,129232,4-Speed Shiftable Automatic,AT-1CAF23FF,Gasoline,23569,4S4BP61C687353230,NA,#05518D,NA,"Blue 2008 Subaru Outback 2.5i AWD 4-Speed Automatic 2.5L H4 SMPI SOHC 3 month/3,000 mile Powertrain WARRANTY, AWD. This vehicle is at 111 W. 800 N. Orem, UT 84057. Recent Arrival! 26/20 Highway/City MPG Awards: * 2008 KBB.com Best 10 Family Vehicles *****SUVs Only by AUTOMAXX***** --- 111 W 800 N Orem, UT 84057 --- All vehicles come with a 3 month/3,000 mile Powertrain WARRANTY for your PEACE of MIND! --- Take pride in your ride! Come find your next cool SUV or TRUCK today! --- Honest people, Warranties, Easy financing options, Trade or sell your car and 150 vehicles to choose from!!! --- Winner of the 2012 Quality Dealer Award in Utah and in business since 1998. --- www.utahautomaxx.com --- 801-224-5333 Se Habla Espanol --- 10am to 7pm Monday to Friday. 10am to 6pm Saturday ------",NA,NA,NA,NA,FALSE,Automaxx,2.5i Wagon,2008,Used,Provo,Dealer,Automatic,792,20,26
5,81,141,2,Used 2016 Subaru Outback 2.5i Limited,2,/cars-for-sale/vehicledetails.xhtml?listingId=484599889&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,27e3,FALSE,Wagon,All wheel drive,4-Cylinder,16868,Continuously Variable Automatic,AT-1CE26851,Gasoline,2H90010A,4S4BSBNC5G3212981,12 Speakers4-Wheel Disc Brakes4.111 Axle RatioABS brakesAM/FM radio: SiriusXMAir ConditioningAlloy wheelsAnti-whiplash front head restraintsAutomatic temperature controlBlind Spot Sensor,#05518D,#FFFFEE,***EXTREMELY LOW MILES*****NAVIGATION** BACKUP CAMERA!!CLEAN CARFAX 1 OWNER!  ALL WHEEL DRIVE!!*GREAT GAS MILEAGE!!,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Ken Garff Honda of Orem,2.5i Limited,2016,Used,Provo,Dealer,Automatic,115,25,33
227,19,19,3,Used 2013 Subaru Outback 3.6R Limited,4,/cars-for-sale/vehicledetails.xhtml?listingId=484853771&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,17943,FALSE,Wagon,All wheel drive,6-Cylinder,86597,5-Speed Shiftable Automatic,AT-1CE6480B,Gasoline,C16840,4S4BRDPC2D2272058,4 Wheel Disc BrakesAM/FM StereoAdditional Power Outlet(s)Air Bag - DriverAir Bag - PassengerAir Bag - SideAir Bag-Side-Head only-RearAir Bags - HeadAir ConditioningAir Conditioning - Rear,#E31313,#FFFFEE,"HARD TO FIND!!!! Check out this Like New 2013 SUBARU OUTBACK 3.6R Limited!!! It is a Clean Title, Clean Autocheck Certified One Owner Vehicle with No Accidents in the Vehicle History. It comes with the Powerful and Fun to Drive 3.6 Liter 6 Cylinder Engine that gets Incredible Fuel Economy, Automatic Transmission, Factory Navigation System with Back-Up Camera, Panorama Sunroof, Premium Sound System with AM/FM CD Player, Power Windows and Door Locks, Tilt Steering Wheel, Luggage Rack, Alloy Wheels and New Tires, and Cruise Control. This vehicle runs and drives PERFECT!! It Even Has Heated Leather Seats!!! Come check it out. Ask about our FREE Autocheck vehicle history report. At Cougar Auto Sales we work hard to bring you the cleanest, most reliable vehicles at the best prices. We are the easiest Dealership you will ever purchased from...I Promise !!! To get pre-approved click this link: http://www.cougarautosales.com/finance-a pplication. CALL 801-229-1454 TODAY and ask for one of our helpful representatives or Text 801-836-1449 or 801-995-8488 with any questions you may have!!! Thanks For Looking!!!*(Although we make every effort to have no mistakes, they do happen. Please call to verify all information.)- - - 2013 Subaru Outback 3.6R - - -","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Cougar Auto Sales,3.6R Limited,2013,Used,Provo,Dealer,Automatic,1260,18,25
36,139,21,4,Used 2017 Subaru Outback 2.5i Premium,6,/cars-for-sale/vehicledetails.xhtml?listingId=473922117&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,20997,FALSE,Wagon,All wheel drive,4-Cylinder,5347,Continuously Variable Automatic,AT-1C3F7A45,Gasoline,270306,4S4BSACC6H3270306,NA,#248B15,#D2B48C,"This great looking 2017 Subaru Outback Premium with branded has successfully completed a 150 point inspection by our ASE certified mechanics and is ready to make its place as the newest addition to your garage. It comes complete with such options as all weather floor mats, Bluetooth for hands-free calling, a backup camera and heated seats to keep you warm during those cold Utah winters. Overall this vehicle is in great condition and has been well cared for by its previous owner. Save thousands of dollars on your next vehicle when you shop at Prestman Auto, one of the highest rated dealerships in Utah on Google. A Bluestar inspection has been completed on this vehicle. This is a 45 category/150-point+ inspection completed by an independent, third party mechanic who is not associated with our dealership. Report details can be found here https://www.bluestar.com/reports/4s4bsac c6h3270306/ or can be found by entering the last six digits of the VIN number at BlueStar.com . Prestman Auto is a family owned and operated dealership that has been in business since 1989. How many others can say the same? We have been the leader in top quality branded title vehicles sold nationwide, and we have thousands of happy customers who buy again and again from us. Additional fees, state fees, and dealer doc fees are in addition to the price listed. Dealer Number 4183.","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Prestman Auto,2.5i Premium,2017,Used,Provo,Dealer,Automatic,1370,25,32
69,69,69,5,Used 2016 Subaru Outback 2.5i Limited,6,/cars-for-sale/vehicledetails.xhtml?listingId=470504348&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,20999,TRUE,Wagon,All wheel drive,4-Cylinder,27971,Continuously Variable Automatic,AT-1C0B539C,Gasoline,C201626,4S4BSBNC7G3201626,NA,#454545,#D2B48C,"* BEST MATCH * WOW!! ONE OWNER!! NADA RETAIL $24,550, NADA TRADE IN $22,425!!! Take a look at this well-equipped ONE OWNER branded title Outback RIGHT HERE at Prestman Auto in Lindon!! This Subaru has the features you're looking for like front and rear heated leather seats, dual zone climate control, GPS navigation nav, a back-up camera, sunroof, Bluetooth, voice command, steering mounted volume controls, Harman/Kardon premium sound system, all wheel drive, memory seats, a power lift gate and more! This vehicle has successfully completed a rigorous 150 point inspection by our ASE certified mechanics and is ready to hit the road. Buy with confidence from Prestman Auto, one of the highest rated dealerships in Utah on Google! A Bluestar inspection has been completed on this vehicle. This is a 45 category/150-point+ inspection completed by an independent, third party mechanic who is not associated with our dealership. Report details can be found here https://www.bluestar.com/reports/4s4bsbn c7g3201626/ or can be found by entering the last six digits of the VIN number at BlueStar.com . Prestman Auto is a family owned and operated dealership that has been in business since 1989. How many others can say the same? We have been the leader in top quality branded title vehicles sold nationwide, and we have thousands of happy customers who buy again and again from us. Additional fees, state fees, and dealer doc fees are in addition to the price listed. Dealer Number 4183.","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Prestman Auto,2.5i Limited,2016,Used,Provo,Dealer,Automatic,1484,25,33
139,139,139,6,Used 2016 Subaru Outback 2.5i Limited,7,/cars-for-sale/vehicledetails.xhtml?listingId=484318204&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK&digitalRetail=true,21499,FALSE,Wagon,All wheel drive,4-Cylinder,24896,Continuously Variable Automatic,AT-1CDE1BFC,Gasoline,13919,4S4BSBNC6G3232866,12 Speakers4-Wheel Disc Brakes4.111 Axle RatioABS brakesAM/FM radio: SiriusXMAdjustable head restraints: driver and passenger w/tiltAir ConditioningAlloy wheelsAnti-whiplash front head restraintsAutomatic temperature control,#8B8B8B,NA,"Odometer is 2154 miles below market average!33/25 Highway/City MPGBest Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.Awards:  * 2016 IIHS Top Safety Pick+   * 2016 KBB.com 10 Best All-Wheel Drive Vehicles Under $25,000   * 2016 KBB.com 16 Best Family Cars   * 2016 KBB.com 10 Most Comfortable Cars Under $30,000   * 2016 KBB.com Best Resale Value Awards   * 2016 KBB.com Brand Image Awards","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,AutoSource Lindon,2.5i Limited,2016,Used,Provo,Dealer,Automatic,1055,25,33
5,81,141,7,Used 2016 Subaru Outback 2.5i Limited,7,/cars-for-sale/vehicledetails.xhtml?listingId=483047055&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK&digitalRetail=true,19499,FALSE,Wagon,All wheel drive,4-Cylinder,39462,Continuously Variable Automatic,AT-1CCAB68F,Gasoline,13627,4S4BSANC0G3226653,12 Speakers4-Wheel Disc Brakes4.111 Axle RatioABS brakesAM/FM radio: SiriusXMAir ConditioningAlloy wheelsAnti-whiplash front head restraintsAutomatic temperature controlBlind Spot Sensor,#05518D,#000000,"33/25 Highway/City MPGBest Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.Awards:  * 2016 IIHS Top Safety Pick+   * 2016 KBB.com 10 Best All-Wheel Drive Vehicles Under $25,000   * 2016 KBB.com 10 Most Comfortable Cars Under $30,000   * 2016 KBB.com 16 Best Family Cars   * 2016 KBB.com Brand Image Awards   * 2016 KBB.com Best Resale Value Awards","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,AutoSource Lindon,2.5i Limited,2016,Used,Provo,Dealer,Automatic,1011,25,33
5,81,141,8,Used 2016 Subaru Outback 2.5i Premium,7,/cars-for-sale/vehicledetails.xhtml?listingId=482784176&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK&digitalRetail=true,19399,FALSE,Wagon,All wheel drive,4-Cylinder,12491,Continuously Variable Automatic,AT-1CC6B3B0,Gasoline,13454,4S4BSADC8G3322306,"17"" x 7.0"" Aluminum Alloy w/Silver Finish Wheels4-Wheel Disc Brakes4.111 Axle Ratio6 SpeakersABS brakesAM/FM radio: SiriusXMAir ConditioningAnti-whiplash front head restraintsAutomatic temperature controlBrake assist",#05518D,#FFFFEE,"Odometer is 29364 miles below market average!33/25 Highway/City MPGBest Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.Awards:  * 2016 IIHS Top Safety Pick+   * 2016 KBB.com 10 Most Comfortable Cars Under $30,000   * 2016 KBB.com 16 Best Family Cars   * 2016 KBB.com 10 Best All-Wheel Drive Vehicles Under $25,000   * 2016 KBB.com Best Resale Value Awards   * 2016 KBB.com Brand Image Awards","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,AutoSource Lindon,2.5i Premium,2016,Used,Provo,Dealer,Automatic,1056,25,33
69,69,69,9,Used 2017 Subaru Outback 2.5i,8,/cars-for-sale/vehicledetails.xhtml?listingId=485442448&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,20866,FALSE,Wagon,All wheel drive,4-Cylinder,53842,Continuously Variable Automatic,AT-1CEF4390,Gasoline,1F1607A,4S4BSAAC2H3254378,4 Speakers4-Wheel Disc Brakes4.111 Axle RatioABS brakesAM/FM radioAir ConditioningAlloy wheelsAnti-whiplash front head restraintsBrake assistBumpers: body-color,#454545,#000000,"Check out our huge selection of pre owned inventory that are priced to be #1 in the market. Every vehicle has 142 point inspection to make sure you get a trouble free vehicle. ONLY 30 minutes south on I-15 from the point of the mountain.For the best price on a new Ford see Tim Dahle Ford in Spanish Fork. ONLY 30 minutes south of the point of the mountain. We beat any legitimate Ford deal by $300.00. We deliver free anywhere along the Wasatch front. Out of state buyers we pick up at SLC or Provo airport or we can arrange shipping to your door. 2017 Subaru Outback 4D Sport Utility2.5i carbide gray metallic2.5L 4-Cylinder DOHC 16V AWD CVT Lineartronic25/32mpgCARFAX One-Owner. Clean CARFAX.KBB Fair Market Range High: $23,184Awards:* 2017 IIHS Top Safety Pick+ Reviews:* More spacious and comfortable cabin than those of compact SUVs; lower roof and cargo area load heights than most SUVs; easy to see out of; innovative swing-in roof rails/bars; above-average off-road ability; many advanced safety features that are widely available; top safety ratings. Source: EdmundsWe are proud to say we are the fastest growing Ford dealer in the Western States. Call, email, or come in today and see why Tim Dahle Ford is the place to buy your next pre-owned vehicle. People all across the U.S. Buy From Guys In Boots Not Suits No Hassle, No Games, just a great selection and priced to be #1. Pricing based on dealer arranged financing. 801-798-3553.","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Tim Dahle Ford,2.5i,2017,Used,Provo,Dealer,Automatic,1446,25,32
69,69,69,10,Used 2016 Subaru Outback 3.6R Limited,9,/cars-for-sale/vehicledetails.xhtml?listingId=482647350&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DSUBOUTBK%26makeCodeList%3DSUB%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=SUBOUTBK&makeCodeList=SUB&searchRadius=0&makeCode1=SUB&modelCode1=SUBOUTBK,27402,FALSE,Wagon,All wheel drive,6-Cylinder,43528,Continuously Variable Automatic,AT-1CC49D36,Gasoline,4EP4969,4S4BSENC8G3243420,**CARFAX ONE OWNER**12 Speakers150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!4-Wheel Disc Brakes4.111 Axle RatioABS brakesALL VEHICLES  PROFESSIONALLY DETAILED FOR DELIVERY!AM/FM radio: SiriusXMAir ConditioningAnti-whiplash front head restraints,#454545,#000000,"**CARFAX ONE OWNER**, 150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!, Outback 3.6R Limited, 4D Sport Utility, 3.6L Boxer H6 DOHC 24V, CVT Lineartronic, AWD, Blue, Leather.Ken Garff Chevrolet is pumped up to offer this charming 2016 Subaru Outback. 3.6R AWD27/20 Highway/City MPG Includes GarffCare! (Complimentary Towing along Wasatch Front, Roadside Assistance, Complimentary Annual State Safety Inspection, Flat Tire Repair, and Car Wash with every Service Visit)Recent Arrival! Blue 2016 Subaru Outback 3.6R LimitedAwards:* 2016 IIHS Top Safety Pick+ * 2016 KBB.com 16 Best Family Cars * 2016 KBB.com 10 Best All-Wheel Drive Vehicles Under $25,000 * 2016 KBB.com Best Resale Value Awards * 2016 KBB.com Brand Image Awards","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"3 Years/36,000 Miles",FALSE,Ken Garff Chevrolet,3.6R Limited,2016,Used,Provo,Dealer,Automatic,740,20,29
